Country,Age,Gender,Education_Level,Income_Quintile,Employment_Status,Urbanicity,Has_Account,Has_Financial_Account,Has_Mobile_Account,Received_Transfers,Owns_Mobile,Has_Internet_Access,Made_Digital_Payment,Paid_Merchant_Digitally
Kenya,39.0,1,2,5,1,2,1,1,1,4,1,1,1,1
Kenya,29.0,2,2,5,1,2,1,1,1,4,1,1,1,1
Kenya,50.0,2,2,4,1,1,1,1,0,4,1,1,1,1
Kenya,55.0,2,1,1,1,1,0,0,0,4,1,2,0,0
Kenya,35.0,1,2,3,2,2,1,1,1,4,2,2,1,0
Kenya,40.0,1,2,5,1,2,1,1,1,4,1,2,1,0
Kenya,57.0,2,2,5,1,1,1,1,1,4,1,2,1,0
Kenya,24.0,1,2,1,1,2,1,1,0,4,1,1,1,1
Kenya,23.0,1,2,5,1,1,1,1,1,4,1,1,1,1
Kenya,28.0,2,2,3,2,1,1,1,0,4,1,1,1,1
Kenya,40.0,1,2,2,2,1,1,1,0,4,1,2,1,0
Kenya,21.0,1,2,5,2,1,1,1,1,1,1,1,1,0
Kenya,23.0,1,2,4,1,2,1,1,1,4,1,2,1,0
Kenya,26.0,1,1,5,1,1,0,0,0,4,2,2,0,0
Kenya,25.0,1,3,5,1,2,1,1,1,4,1,1,1,1
Kenya,35.0,2,1,4,1,1,1,0,1,4,1,2,1,1
Kenya,20.0,2,2,5,1,1,1,0,1,5,1,1,1,0
Kenya,42.0,1,1,3,1,1,1,0,1,1,1,2,1,1
Kenya,25.0,2,3,4,1,1,1,0,1,4,2,1,1,1
Kenya,19.0,2,2,4,1,1,1,1,1,4,1,1,1,1
Kenya,38.0,1,2,3,1,1,1,0,1,3,1,1,1,0
Kenya,26.0,1,3,5,1,1,1,1,1,4,1,1,1,1
Kenya,30.0,1,2,3,1,1,1,1,1,4,1,1,1,1
Kenya,24.0,2,3,5,1,2,1,1,1,1,1,1,1,1
Kenya,60.0,1,2,1,1,1,1,0,1,4,1,2,1,0
Kenya,24.0,1,1,3,1,1,1,1,1,4,1,1,1,1
Kenya,37.0,1,1,1,1,1,1,1,1,4,1,1,1,1
Kenya,18.0,1,2,2,2,1,1,1,1,4,1,2,1,0
Kenya,22.0,2,2,4,1,2,1,1,1,4,1,1,1,1
Kenya,55.0,1,2,4,1,1,0,0,0,4,1,2,0,0
Kenya,23.0,1,2,3,1,2,1,1,1,4,2,2,1,1
Kenya,23.0,1,2,5,1,2,1,0,1,4,2,2,1,1
Kenya,35.0,1,2,4,1,1,1,1,0,4,1,1,0,0
Kenya,23.0,1,2,1,1,1,1,1,1,1,1,1,1,0
Kenya,23.0,1,2,2,1,1,0,0,0,4,1,2,0,0
Kenya,15.0,1,1,3,2,1,0,0,0,4,2,2,0,0
Kenya,36.0,1,2,4,1,1,1,1,1,4,1,1,1,1
Kenya,40.0,1,2,3,1,1,1,1,0,4,1,2,0,0
Kenya,32.0,1,3,5,1,1,1,1,1,4,1,1,1,0
Kenya,21.0,1,1,3,2,2,0,0,0,4,1,2,0,0
Kenya,50.0,2,2,4,1,1,1,0,1,4,1,2,1,1
Kenya,30.0,2,2,5,1,1,1,1,1,4,1,1,1,1
Kenya,34.0,1,1,1,2,1,0,0,0,4,1,1,0,0
Kenya,28.0,2,2,5,1,1,1,1,1,4,1,1,1,1
Kenya,30.0,1,1,3,1,1,0,0,0,4,1,2,0,0
Kenya,20.0,1,2,5,2,1,1,1,1,1,1,1,1,0
Kenya,41.0,2,3,5,1,2,1,1,1,1,1,1,1,0
Kenya,21.0,1,2,4,1,1,1,0,1,4,1,1,1,0
Kenya,51.0,2,2,5,1,1,1,1,1,1,1,1,1,1
Kenya,32.0,2,1,3,1,2,1,0,1,4,1,1,1,1
Kenya,27.0,2,2,4,1,1,1,1,0,4,1,1,1,0
Kenya,50.0,2,2,4,2,1,1,1,1,3,1,1,1,1
Kenya,37.0,2,2,5,1,1,1,0,1,4,1,2,1,1
Kenya,22.0,2,2,3,2,1,1,1,1,4,1,1,1,0
Kenya,24.0,1,1,5,1,1,1,0,1,4,1,1,1,1
Kenya,21.0,1,2,5,2,2,1,0,1,4,1,2,1,0
Kenya,35.0,2,2,1,1,1,1,1,1,4,1,1,1,0
Kenya,40.0,1,2,3,1,1,1,0,1,4,1,2,1,1
Kenya,16.0,2,2,3,2,1,1,0,1,4,1,1,1,0
Kenya,15.0,2,1,3,2,2,1,0,1,4,2,2,1,0
Kenya,39.0,2,1,2,1,1,1,1,1,4,1,1,1,0
Kenya,24.0,1,2,4,2,2,1,0,1,4,1,1,1,1
Kenya,33.0,2,2,3,1,1,1,1,1,4,1,1,1,1
Kenya,22.0,1,1,4,1,1,1,1,1,4,1,1,1,0
Kenya,24.0,2,2,3,1,1,1,1,1,4,1,1,1,1
Kenya,27.0,2,2,3,1,2,1,1,1,4,1,1,1,0
Kenya,30.0,1,3,5,1,2,1,1,1,2,1,2,1,1
Kenya,30.0,2,2,5,1,1,1,1,1,3,1,1,1,1
Kenya,40.0,1,2,4,1,2,1,0,1,4,1,2,1,1
Kenya,45.0,1,1,1,1,1,0,0,0,4,1,2,0,0
Kenya,30.0,2,1,1,1,1,0,0,0,4,2,2,0,0
Kenya,69.0,2,2,3,2,1,1,1,0,4,2,2,1,0
Kenya,35.0,2,1,1,1,1,0,0,0,4,2,2,0,0
Kenya,30.0,2,2,3,1,2,1,0,1,4,1,2,1,1
Kenya,25.0,1,2,5,1,1,1,1,1,1,1,1,1,0
